token_ticker,sentiment_score,mCap
CENTED,-1.0,4420
CFDS,-1.0,4381
CHADGPT,-0.4090909090909091,4849
CHAIR,-0.10526315789473684,54594
CHAMP,-0.15789473684210525,4569
CHAP,0.03225806451612903,4374
CHEDDA,1.0,5537
CHEEBS,-0.3191489361702128,20036
CHEEMS,-0.08333333333333333,4197
CHEEMS,-0.08333333333333333,6515
CHEEMS,-0.08333333333333333,4526
CHEESE,-0.5135135135135135,4255
CHEETO,-0.5031055900621118,6314
CHEEZ,-0.3333333333333333,4324
CHEF,-0.5,5214
CHEF,-0.5,5069
CHENDOG,-1.0,5258
CHEPE,-0.08994708994708994,5758
CHESS,-0.5555555555555556,4906
CHICHI,-0.5,4345
CHICKEN,-0.043478260869565216,6400
CHIIKAWA,-0.3103448275862069,637420
CHILADY,-0.13333333333333333,4867
CHIP,-0.8260869565217391,4416
CHIP,-0.8260869565217391,5211
CHIP,-0.8260869565217391,5122
CHIRO,-0.2727272727272727,4960
CHISE,-0.3,4887
CHITTY,-0.3333333333333333,4605
CHK,-0.3333333333333333,4135
CHLOE,-0.5714285714285714,7883
CHOPPA,-0.2,6569
CHOWIE,0.14285714285714285,89804
CHUBBY,-0.29411764705882354,4369
CHUNK,-1.0,7320
CHWAD,-0.4330708661417323,76325
CHWY,-0.1,4532
CIGGY,-0.2631578947368421,5083
CLAWD,-0.6,4830
CLICKING,0.037037037037037035,485153
CLIFF,-0.3333333333333333,7113
CLIPPY,0.5,4359
CLOCK,-0.4444444444444444,6234
CLOSER,-0.6666666666666666,4452
CNB,-0.6666666666666666,9475
CNB,-0.6666666666666666,4204
COBY,-0.4634146341463415,5621
COCK,0.2857142857142857,4926
COCK,0.2857142857142857,6345
COCKY,-0.8461538461538461,4699
COCOA,-0.3333333333333333,5390
CODE,-0.466529351184346,5702
CODED,-0.41732283464566927,5591
COIN,-0.5081967213114754,4160
COMEBACK,-0.2,5564
COMFY,-0.5,5940
COMICS,0.0,4053
COOK,-1.0,9171
COOKIE,-0.6,8030
COON,-0.050359712230215826,5500
COOPER,-0.3333333333333333,9066
COOPER,-0.3333333333333333,4818
COPITO,-0.449438202247191,9287
CORNDOG,-0.4583333333333333,5165
COS,-0.42857142857142855,4274
COTTON,-0.7142857142857143,4356
COUCH,0.0,35927
COULD,-0.7647058823529411,8722
COWS,-0.5,13421
CP,-0.4857142857142857,5780
CPBRETT,-0.1891891891891892,4117
CRASH,-0.875,4071
CRASH,-0.875,4135
CRAWLY,-0.8666666666666667,45253
CRAWLY,-0.8666666666666667,7735
CRIF,-0.4,4307
CROCK,-1.0,5740
CROCO,-0.3888888888888889,5144
CROK,0.15384615384615385,4966
CRYPSTOCKS,0.0,8616
CRYPTOIDS,-0.6,5500
CRYSTAL,-0.1024390243902439,5488
CRYSTAL,-0.1024390243902439,4412
CS,0.3333333333333333,5624
CSG,0.1111111111111111,5425
CT,-0.3333333333333333,4409
CTO,-0.3993174061433447,4715
CTO,-0.3993174061433447,6259
CTO,-0.3993174061433447,6019
